code,sector,currentPrice,dailyLiquidity,dividend,dividendYield,dividendYieldAnnual,priceVariation,pvp,physicalVacancy,financialVacancy
BTSI11,Híbrido,N/A,N/A,"R$ 0,72","0,00%",N/A,"0,00%",N/A,N/A,N/A
BTWR11,Lajes Corporativas,"R$ 107,00",4.0,"R$ 0,47","0,44%","0,81%","0,00%","0,95","12,00%",N/A
BZLI11,Títulos e Val. Mob.,"R$ 19,78",514.0,"R$ 0,00","0,00%","0,00%","0,68%","1,84",N/A,N/A
CACR11,Híbrido,"R$ 103,10",5548.0,"R$ 1,44","1,39%","4,08%","-2,33%","0,99",N/A,N/A
CARE11,Híbrido,"R$ 1,89",36434.0,"R$ 0,00","0,23%","1,36%","-2,63%","0,23",N/A,N/A
CBOP11,Lajes Corporativas,"R$ 36,00",2567.0,"R$ 0,12","0,33%","0,87%","-15,61%","0,49","33,59%","30,79%"
CCME11,Outros,"R$ 95,84",10.0,"R$ 0,85","0,00%",N/A,"0,00%",N/A,N/A,N/A
CCRF11,Títulos e Val. Mob.,"R$ 83,00",32.0,"R$ 0,62","0,75%","2,98%","4,79%","0,85",N/A,N/A
CEOC11,Lajes Corporativas,"R$ 52,60",611.0,"R$ 0,65","1,18%","3,56%","2,84%","0,67","0,00%",N/A
CJCT11,Lajes Corporativas,"R$ 62,01",1897.0,"R$ 0,00",N/A,N/A,N/A,"0,95","59,00%",N/A
CNES11,Lajes Corporativas,"R$ 27,35",213.0,"R$ 0,08","0,27%","1,06%","-0,50%","0,31","56,70%",N/A
CORM11,Híbrido,"R$ 99,42",20270.0,"R$ 0,77","0,90%","6,20%","-2,97%","1,18",N/A,N/A
CPFF11,Híbrido,"R$ 60,10",1707.0,"R$ 0,40","0,70%","1,94%","-1,57%","0,76",N/A,N/A
CPTI11,Renda,"R$ 93,01",9310.0,"R$ 0,90","0,96%","0,96%","0,00%",N/A,N/A,N/A
CPTR11,,"R$ 95,00",18691.0,"R$ 1,45","1,52%","4,41%","-1,49%","0,96",N/A,N/A
CPTS11,Títulos e Val. Mob.,"R$ 75,40",61916.0,"R$ 0,71","0,93%","2,92%","0,14%","0,84",N/A,N/A
CRFF11,Títulos e Val. Mob.,"R$ 63,00",4.0,"R$ 0,61","1,02%","2,92%","-6,38%","0,78",N/A,N/A
CTXT11,Lajes Corporativas,"R$ 10,41",161.0,"R$ 0,09","0,39%","1,36%","-2,58%","0,31","97,00%",N/A
CVBI11,Títulos e Val. Mob.,"R$ 87,00",23510.0,"R$ 1,05","1,23%","3,60%","-4,06%","0,92",N/A,N/A
CXAG11,Outros,"R$ 76,21",503.0,"R$ 0,75","0,97%","2,91%","-0,90%","0,66",N/A,N/A
CXCE11B,Outros,"R$ 39,75",792.0,"R$ 0,42","1,08%","3,11%","-3,38%","0,61","0,00%",N/A
CXCI11,,"R$ 75,98",778.0,"R$ 0,83","1,10%","3,28%","-2,38%","0,86",N/A,N/A
CXCO11,Lajes Corporativas,"R$ 68,80",2110.0,"R$ 0,74","1,07%","2,82%","-1,60%","0,69",N/A,N/A
CXRI11,Híbrido,"R$ 61,64",17.0,"R$ 0,56","0,91%","2,72%","0,67%","0,77",N/A,N/A
CXTL11,Logística,"R$ 329,00",43.0,"R$ 1,70","0,41%","1,19%","-0,24%","0,71","61,00%",N/A
CYCR11,Títulos e Val. Mob.,"R$ 8,26",65381.0,"R$ 0,10","1,26%","3,61%","-2,70%","0,86",N/A,N/A
DCRA11,Títulos e Valores Mobiliários,"R$ 8,82",18226.0,"R$ 0,12","1,38%","3,91%","-5,34%","0,92",N/A,N/A
DEVA11,Títulos e Val. Mob.,"R$ 44,05",149988.0,"R$ 0,70","1,33%","3,73%","-32,49%","0,45",N/A,N/A
DRIT11B,Lajes Corporativas,"R$ 87,16",2.0,"R$ 0,85","0,97%","2,03%","1,62%","0,66","10,47%",N/A
DVFF11,Híbrido,"R$ 63,00",922.0,"R$ 0,70","1,12%","3,18%","-9,14%","0,72",N/A,N/A
EDFO11B,Lajes Corporativas,"R$ 199,45",1.0,"R$ 1,73","0,87%","2,56%","-1,00%","1,10","7,10%",N/A
EDGA11,Lajes Corporativas,"R$ 18,73",3816.0,"R$ 0,13","0,66%","1,93%","-1,80%","0,31","48,81%",N/A
EGAF11,,"R$ 100,93",11119.0,"R$ 1,54","1,55%","4,18%","-2,18%","1,02",N/A,N/A
EQIR11,Títulos e Val. Mob.,"R$ 8,53",3802.0,"R$ 0,11","1,25%","3,73%","-1,24%","0,87",N/A,N/A
ERCR11,Híbrido,"R$ 76.000,00",1.0,"R$ 2.594,24","0,00%",N/A,"0,00%","1,17",N/A,N/A
ERPA11,,"R$ 121,00",1400.0,"R$ 0,72","0,59%","1,70%","-0,79%","0,88",N/A,N/A
EURO11,Logística,"R$ 221,00",170.0,"R$ 1,87","0,82%","2,38%","-4,43%","0,68","0,00%",N/A
EVBI11,Híbrido,"R$ 93,95",409.0,"R$ 0,75","0,83%","2,42%","-3,72%","0,95","0,00%",N/A
FAED11,Outros,"R$ 141,00",489.0,"R$ 1,62","1,12%","3,37%","-1,31%","0,65","0,00%",N/A
FAMB11B,Lajes Corporativas,"R$ 756,00",16.0,"R$ 9,16","0,56%","8,82%","-47,80%","0,25","100,00%",N/A
FATN11,Híbrido,"R$ 93,70",478.0,"R$ 0,83","0,88%","2,62%","-0,79%","0,95","4,30%",N/A
FCFL11,Outros,"R$ 103,52",1747.0,"R$ 0,81","0,77%","2,29%","3,46%","0,89","0,00%",N/A
FEXC11,Títulos e Val. Mob.,"R$ 83,50",9153.0,"R$ 0,95","0,00%",N/A,"0,00%","0,92",N/A,N/A
FGAA11,,"R$ 9,60",115389.0,"R$ 0,14","1,43%","4,16%","-1,21%","1,00",N/A,N/A
FIGS11,Shoppings,"R$ 48,12",4960.0,"R$ 0,39","0,85%","2,47%","-3,45%","0,63","13,70%",N/A
FIIB11,Híbrido,"R$ 455,00",968.0,"R$ 3,25","0,75%","2,20%","-2,70%","0,99","6,28%",N/A
FIIP11B,Logística,"R$ 146,00",307.0,"R$ 1,35","0,98%","2,84%","-4,44%","0,78","0,00%",N/A
FISC11,Lajes Corporativas,"R$ 165,00",200.0,"R$ 0,40","0,00%",N/A,"0,00%","1,43",N/A,N/A
FIVN11,Shoppings,"R$ 2,87",7966.0,"R$ 0,00","0,00%",N/A,"0,00%","0,37","56,00%",N/A
FLCR11,Títulos e Val. Mob.,"R$ 93,95",522.0,"R$ 1,20","1,28%","3,62%","-2,13%","0,96",N/A,N/A
FLMA11,Híbrido,"R$ 123,71",248.0,"R$ 0,85","0,69%","1,96%","1,19%","0,77","11,00%",N/A
FLRP11,Shoppings,"R$ 1.586,00",6.0,"R$ 13,00","0,76%","2,39%","4,94%","0,87","2,01%",N/A
FMOF11,Lajes Corporativas,"R$ 50,00",3.0,"R$ 0,64",N/A,N/A,N/A,"0,42","52,08%",N/A
FPAB11,Lajes Corporativas,"R$ 134,95",23.0,"R$ 0,95","0,70%","3,03%","0,74%","0,36","33,79%",N/A
FVPQ11,Shoppings,"R$ 98,00",414.0,"R$ 0,82","0,93%","2,79%","-10,89%","0,51","5,50%",N/A
GALG11,Híbrido,"R$ 8,40",93941.0,"R$ 0,08","1,01%","2,85%","-5,90%","0,91","0,00%","0,00%"
GAME11,Híbrido,"R$ 8,38",11986.0,"R$ 0,10","1,20%","3,52%","-3,49%","0,84",N/A,N/A
GCFF11,Títulos e Val. Mob.,"R$ 65,75",1040.0,"R$ 0,75","1,15%","3,28%","-3,99%","0,86",N/A,N/A
GCRA11,Híbrido,"R$ 91,53",1753.0,"R$ 1,27","1,34%","3,92%","-1,24%","0,93",N/A,N/A
GCRI11,Títulos e Val. Mob.,"R$ 89,59",1154.0,"R$ 1,10","1,23%","3,67%","-0,99%","0,94",N/A,N/A
GESE11B,Outros,"R$ 1.520,00",300.0,"R$ 14,74","0,00%",N/A,"0,00%","0,86",N/A,N/A
GGRC11,Logística,"R$ 109,44",10788.0,"R$ 1,00","1,00%","2,84%","-4,07%","0,87","0,00%","0,00%"
GSFI11,Shoppings,"R$ 5,35",1743.0,"R$ 0,00","0,03%","0,03%","0,00%","0,38","10,30%",N/A
GTLG11,,"R$ 99,00",5.0,"R$ 0,70","0,74%","2,18%","-1,06%","1,07",N/A,N/A
GTWR11,Lajes Corporativas,"R$ 76,99",7893.0,"R$ 0,79","1,06%","3,19%","0,15%","0,81","0,00%","0,00%"
HAAA11,Lajes Corporativas,"R$ 60,80",3.0,"R$ 0,43","0,67%","1,93%","-8,44%","0,69","17,00%",N/A
HABT11,Títulos e Val. Mob.,"R$ 85,00",13294.0,"R$ 1,25","1,45%","4,12%","-1,63%","0,86",N/A,N/A
HBRH11,Híbrido,"R$ 92,79",8.0,"R$ 0,62","0,68%","2,06%","0,17%","0,83",N/A,N/A
HCHG11,Outros,"R$ 80,50",202.0,"R$ 1,00","1,18%","3,56%","-0,73%","0,80",N/A,N/A
HCRI11,Hospital,"R$ 227,03",460.0,"R$ 2,68","1,14%","3,36%","-2,46%","0,74","0,00%",N/A
HCTR11,Outros,"R$ 43,96",224496.0,"R$ 0,50","0,93%","2,93%","-27,27%","0,37",N/A,N/A
HFOF11,Títulos e Val. Mob.,"R$ 67,50",12885.0,"R$ 0,63","0,98%","2,89%","-1,56%","0,90",N/A,N/A
HGAG11,,"R$ 38,03",289.0,"R$ 0,51","1,50%","4,81%","17,04%","1,61",N/A,N/A
HGBS11,Shoppings,"R$ 197,00",6849.0,"R$ 1,40","0,78%","2,31%","-0,96%","0,90","6,50%",N/A
HGCR11,Títulos e Val. Mob.,"R$ 102,37",26897.0,"R$ 1,20","1,19%","3,54%","-0,85%","1,01",N/A,N/A
HGFF11,Títulos e Val. Mob.,"R$ 74,56",4629.0,"R$ 0,65","0,93%","2,76%","-1,66%","0,89",N/A,N/A
HGIC11,Títulos e Val. Mob.,"R$ 90,60",2.0,"R$ 1,03","1,10%","2,59%","-6,46%","0,76",N/A,N/A
HGLG11,Logística,"R$ 160,75",34350.0,"R$ 1,10","0,69%","2,05%","-1,24%","1,05","6,90%","6,50%"
HGPO11,Lajes Corporativas,"R$ 244,55",1867.0,"R$ 1,60","0,65%","1,92%","-1,04%","0,82","4,99%","2,72%"
HGRE11,Lajes Corporativas,"R$ 122,48",24947.0,"R$ 0,78","0,72%","2,09%","-5,16%","0,78","27,13%","29,17%"
HGRS11,Residencial,N/A,N/A,"R$ 0,00","0,00%",N/A,"0,00%",N/A,N/A,N/A
HGRU11,Híbrido,"R$ 121,75",33347.0,"R$ 0,85","0,74%","2,17%","0,96%","0,99","0,00%","0,00%"
HLOG11,Logística,"R$ 81,45",579.0,"R$ 0,65","0,78%","2,31%","-1,52%","0,70","58,00%","0,00%"
HOFC11,Lajes Corporativas,"R$ 24,99",2626.0,"R$ 0,20","0,80%","0,80%","0,00%","0,28","46,00%","50,00%"
HOSI11,Híbrido,"R$ 54,00",288.0,"R$ 0,39","0,68%","2,04%","-6,29%","0,58",N/A,N/A
HPDP11,Shoppings,"R$ 68,02",5.0,"R$ 0,45","0,63%","1,86%","0,55%","0,76","2,00%",N/A
HRDF11,Híbrido,"R$ 0,89",228.0,"R$ 6,80",N/A,N/A,N/A,"0,79",N/A,N/A
HREC11,Títulos e Val. Mob.,"R$ 75,95",661.0,"R$ 0,90","1,19%","3,49%","-1,84%","0,84",N/A,N/A
HSAF11,Títulos e Val. Mob.,"R$ 78,60",7946.0,"R$ 0,95","1,24%","3,52%","-2,18%","0,86",N/A,N/A
HSLG11,Logística,"R$ 81,00",13305.0,"R$ 0,72","0,97%","2,73%","-8,52%","0,78","1,10%",N/A
HSML11,Shoppings,"R$ 83,40",26929.0,"R$ 0,74","0,93%","2,75%","0,72%","0,87","4,50%",N/A
HSRE11,Híbrido,"R$ 103,93",1.0,"R$ 0,63","0,61%","1,84%","-0,09%","1,08","0,00%",N/A
HTMX11,Hotel,"R$ 105,20",2196.0,"R$ 0,63","0,61%","1,85%","-2,25%","0,75","65,00%",N/A
HUSC11,Outros,"R$ 100,00",22.0,"R$ 0,86","0,82%","2,48%","2,25%","0,68",N/A,N/A
HUSI11,Hospital,"R$ 1.137,61",1.0,"R$ 8,06","0,71%","2,94%","0,00%","1,02",N/A,N/A
IBCR11,Títulos e Val. Mob.,"R$ 69,85",2572.0,"R$ 0,80","1,14%","3,66%","-7,46%","0,73",N/A,N/A
IBFF11,Títulos e Val. Mob.,"R$ 66,40",1924.0,"R$ 0,30","0,44%","5,42%","7,50%","4,49",N/A,N/A
IDFI11,Híbrido,"R$ 48,70",87.0,"R$ 0,56","1,12%","2,25%","-7,95%","0,99",N/A,N/A
IFRA11,Renda,"R$ 95,21",15888.0,"R$ 0,87","0,91%","0,91%","0,00%",N/A,N/A,N/A
IRDM11,Títulos e Val. Mob.,"R$ 77,77",95178.0,"R$ 0,91","1,16%","3,28%","-9,12%","0,84",N/A,N/A
IRIM11,Híbrido,"R$ 87,64",189.0,"R$ 1,03","1,23%","3,49%","-5,27%","0,90",N/A,N/A
ITIP11,Títulos e Val. Mob.,"R$ 73,72",551.0,"R$ 0,81","1,12%","3,36%","-5,59%","0,94",N/A,N/A
ITIT11,Títulos e Val. Mob.,"R$ 71,60",1179.0,"R$ 0,56","0,76%","2,40%","-1,95%","0,96",N/A,N/A
JFLL11,Residencial,"R$ 62,81",1695.0,"R$ 0,63","1,09%","3,17%","-3,27%","0,62","28,00%",N/A
JGPX11,Híbrido,"R$ 96,40",1252.0,"R$ 1,40","1,47%","4,00%","-1,14%","1,00",N/A,N/A
JPPA11,Títulos e Val. Mob.,"R$ 94,00",2829.0,"R$ 1,40","1,44%","4,14%","-5,10%","0,96",N/A,N/A
JRDM11,Shoppings,"R$ 78,75",54.0,"R$ 0,59","0,72%","0,72%","0,00%","0,89","2,77%",N/A
JSAF11,Títulos e Val. Mob.,"R$ 85,29",13357.0,"R$ 0,93","1,18%","3,50%","-1,23%","0,93",N/A,N/A
JSRE11,Híbrido,"R$ 67,75",40505.0,"R$ 0,46","0,74%","2,19%","-8,28%","0,60","14,80%","13,40%"
JURO11,Renda,"R$ 98,20",23053.0,"R$ 0,50","0,00%",N/A,"0,00%",N/A,N/A,N/A
KCRE11,Renda,"R$ 91,41",16136.0,"R$ 1,35","1,52%","3,65%","-4,97%","0,92",N/A,N/A
KDIF11,Renda,"R$ 129,06",17945.0,"R$ 1,45","1,15%","1,15%","0,00%",N/A,N/A,N/A
KEVE11,Residencial,"R$ 999,98",127.0,"R$ 3,05","0,32%","0,32%","0,00%","1,06",N/A,N/A
KFOF11,Títulos e Val. Mob.,"R$ 77,61",5486.0,"R$ 0,72","0,93%","2,79%","-0,54%","0,90",N/A,N/A
KINP11,Residencial,"R$ 9,82",9168.0,"R$ 3,05","31,09%","36,11%","-4,38%","2,66",N/A,N/A
KISU11,Títulos e Val. Mob.,"R$ 7,77",155131.0,"R$ 0,07","0,91%","2,78%","-3,27%","0,95",N/A,N/A
KNCA11,Títulos e Val. Mob.,"R$ 106,02",33413.0,"R$ 1,40","1,35%","3,54%","-2,72%","1,04",N/A,N/A
KNCR11,Títulos e Val. Mob.,"R$ 97,43",119016.0,"R$ 1,22","1,27%","3,49%","-3,26%","0,97",N/A,N/A
KNHY11,Títulos e Val. Mob.,"R$ 98,00",18452.0,"R$ 1,30","1,34%","3,83%","-1,02%","0,98",N/A,N/A
KNIP11,Títulos e Val. Mob.,"R$ 90,93",55503.0,"R$ 1,05","1,16%","3,27%","-0,88%","0,95",N/A,N/A
KNRE11,Residencial,"R$ 0,65",8588.0,"R$ 0,04","6,74%","6,74%","0,00%","0,87",N/A,N/A
KNRI11,Híbrido,"R$ 144,00",23361.0,"R$ 0,95","0,69%","2,03%","0,26%","0,90","2,00%","6,72%"
KNSC11,Títulos e Val. Mob.,"R$ 85,67",25241.0,"R$ 1,05","1,24%","3,43%","-2,61%","0,97",N/A,N/A
LASC11,Shoppings,"R$ 99,50",736.0,"R$ 0,71","0,68%","6,44%","1,94%","0,98","2,40%",N/A
LFTT11,Residencial,"R$ 68,50",37.0,"R$ 1,32","1,94%","17,80%","-7,69%","1,79",N/A,N/A
LGCP11,Logística,"R$ 75,29",1644.0,"R$ 0,60","0,83%","2,40%","-6,20%","0,73","0,50%",N/A
LSAG11,,"R$ 106,89",245.0,"R$ 1,68","1,59%","4,10%","-0,95%","1,07",N/A,N/A
LUGG11,Residencial,"R$ 72,17",317.0,"R$ 0,58","0,82%","2,35%","-4,02%","0,61","2,40%",N/A
LVBI11,Logística,"R$ 100,50",12955.0,"R$ 0,75","0,80%","2,33%","-2,83%","0,87","0,50%","0,00%"
MALL11,Shoppings,"R$ 101,05",19410.0,"R$ 0,78","0,79%","2,35%","0,03%","0,84","4,00%",N/A
MATV11,Títulos e Val. Mob.,"R$ 74,69",50.0,"R$ 0,60","0,74%","1,98%","0,01%","0,82",N/A,N/A
MAXR11,Outros,"R$ 63,40",473.0,"R$ 0,74","1,14%","2,54%","2,97%","0,51","2,80%",N/A
MCCI11,Títulos e Val. Mob.,"R$ 84,67",38762.0,"R$ 0,95","1,09%","3,34%","4,11%","0,92",N/A,N/A
MCHF11,Títulos e Val. Mob.,"R$ 8,18",114566.0,"R$ 0,10","1,18%","3,47%","-3,30%","0,87",N/A,N/A
MCHY11,Títulos e Val. Mob.,"R$ 109,94",321.0,"R$ 1,40","1,26%","3,81%","0,82%","1,09",N/A,N/A
MFAI11,Híbrido,"R$ 55,29",116.0,"R$ 0,31","0,55%","2,55%","-0,96%","0,86",N/A,N/A
MFII11,Híbrido,"R$ 89,80",2899.0,"R$ 1,11","1,24%","3,54%","-5,44%","0,87",N/A,N/A
MGCR11,Títulos e Val. Mob.,"R$ 77,19",7522.0,"R$ 0,90","1,16%","3,35%","-1,17%","0,86",N/A,N/A
MGFF11,Títulos e Val. Mob.,"R$ 56,93",8934.0,"R$ 0,54","0,99%","2,98%","0,27%","0,79",N/A,N/A
MGHT11,Hotel,"R$ 59,38",1091.0,"R$ 0,80","1,36%","4,03%","-3,85%","0,69",N/A,N/A
MORC11,Títulos e Val. Mob.,"R$ 86,52",1278.0,"R$ 1,10","1,24%","3,63%","-3,96%","0,89",N/A,N/A
MORE11,Títulos e Val. Mob.,"R$ 60,30",4418.0,"R$ 0,60","0,99%","3,06%","-1,13%","0,72",N/A,N/A
MXRF11,Híbrido,"R$ 10,41",506744.0,"R$ 0,12","1,17%","3,42%","0,49%","1,03",N/A,N/A
NAVT11,Títulos e Val. Mob.,"R$ 73,40",788.0,"R$ 0,85","1,18%","3,57%","1,11%","0,82",N/A,N/A
NCHB11,Títulos e Val. Mob.,"R$ 77,06",5894.0,"R$ 1,03","1,29%","3,64%","-6,58%","0,85",N/A,N/A
NCRA11,,"R$ 10,38",19045.0,"R$ 0,14","1,34%","4,17%","0,29%","0,98",N/A,N/A
NCRI11,Títulos e Valores Mobiliários,"R$ 9,01",538.0,"R$ 0,11","1,22%","2,39%","-4,05%","0,88",N/A,N/A
NEWL11,Híbrido,"R$ 99,94",259.0,"R$ 0,93","0,94%","2,80%","-1,05%","0,83","0,00%",N/A
NEWU11,Lajes Corporativas,"R$ 73,49",24.0,"R$ 0,14","0,20%","0,59%","12,42%","1,07","63,20%",N/A
NSLU11,Hospital,"R$ 165,99",125.0,"R$ 1,54","0,96%","2,81%","-2,80%","0,85","0,00%",N/A
NVHO11,Hospital,"R$ 12,50",205.0,"R$ 0,09","0,71%","2,24%","11,63%","0,90",N/A,N/A
NVIF11B,Outros,N/A,N/A,"R$ 0,44","0,00%",N/A,"0,00%",N/A,N/A,N/A
OIAG11,,"R$ 9,73",26929.0,"R$ 0,15","1,38%","4,62%","1,78%","0,99",N/A,N/A
ONEF11,Lajes Corporativas,"R$ 174,00",159.0,"R$ 0,98","0,58%","1,71%","-2,41%","0,86","0,00%",N/A
ORPD11,Títulos e Val. Mob.,"R$ 11,00",50.0,"R$ 1,38",N/A,N/A,N/A,"0,07",N/A,N/A
OUFF11,Títulos e Val. Mob.,"R$ 59,80",4271.0,"R$ 0,70","1,15%","3,40%","-1,40%","0,85",N/A,N/A
OUJP11,Títulos e Val. Mob.,"R$ 90,69",9727.0,"R$ 1,25","1,38%","3,92%","-8,25%","0,91",N/A,N/A
OULG11,Outros,"R$ 36,69",1610.0,"R$ 0,41","1,14%","3,25%","-5,64%","0,55","0,00%",N/A
OURE11,Títulos e Val. Mob.,"R$ 71,27",4013.0,"R$ 1,00","1,34%","3,96%","0,56%","0,79",N/A,N/A
PABY11,Híbrido,"R$ 12,00",101.0,"R$ 0,00","0,00%","0,00%","-19,84%","-0,73",N/A,N/A
PATC11,Lajes Corporativas,"R$ 67,00",1985.0,"R$ 0,27","0,43%","1,08%","-6,41%","0,88","21,90%","18,90%"
PATL11,Híbrido,"R$ 65,02",13107.0,"R$ 0,60","0,97%","2,79%","-1,42%","0,66","0,00%","0,00%"
PLCA11,,"R$ 84,00",316.0,"R$ 1,12","1,29%","3,59%","-9,64%","0,88",N/A,N/A
PLCR11,Híbrido,"R$ 83,92",3966.0,"R$ 1,00","1,21%","3,57%","-1,61%","0,92",N/A,N/A
PLOG11,Logística,"R$ 70,78",271.0,"R$ 0,70","1,01%","3,10%","-3,36%","0,67","20,40%",N/A
PLRI11,Títulos e Val. Mob.,"R$ 22,10",40.0,"R$ 0,11","0,49%","1,57%","-6,60%","0,68",N/A,N/A
PORD11,Títulos e Val. Mob.,"R$ 82,12",9396.0,"R$ 1,00","1,22%","3,64%","-7,10%","0,84",N/A,N/A
